filename,filepath,class,urgency,type,source_file
original_116485-3-0-4.wav,../data/processed/audio/original_116485-3-0-4.wav,Dog Bark,2,original,116485-3-0-4.wav
original_31323-3-0-1.wav,../data/processed/audio/original_31323-3-0-1.wav,Dog Bark,2,original,31323-3-0-1.wav
original_12647-3-2-0.wav,../data/processed/audio/original_12647-3-2-0.wav,Dog Bark,2,original,12647-3-2-0.wav
original_4-207124-A-0.wav,../data/processed/audio/original_4-207124-A-0.wav,Dog Bark,2,original,4-207124-A-0.wav
original_36902-3-1-0.wav,../data/processed/audio/original_36902-3-1-0.wav,Dog Bark,2,original,36902-3-1-0.wav
original_74725-3-0-0.wav,../data/processed/audio/original_74725-3-0-0.wav,Dog Bark,2,original,74725-3-0-0.wav
original_160366-3-0-4.wav,../data/processed/audio/original_160366-3-0-4.wav,Dog Bark,2,original,160366-3-0-4.wav
original_171464-3-1-0.wav,../data/processed/audio/original_171464-3-1-0.wav,Dog Bark,2,original,171464-3-1-0.wav
original_197073-3-3-0.wav,../data/processed/audio/original_197073-3-3-0.wav,Dog Bark,2,original,197073-3-3-0.wav
original_179386-3-0-0.wav,../data/processed/audio/original_179386-3-0-0.wav,Dog Bark,2,original,179386-3-0-0.wav
original_34872-3-0-2.wav,../data/processed/audio/original_34872-3-0-2.wav,Dog Bark,2,original,34872-3-0-2.wav
original_204773-3-9-1.wav,../data/processed/audio/original_204773-3-9-1.wav,Dog Bark,2,original,204773-3-9-1.wav
original_70098-3-1-0.wav,../data/processed/audio/original_70098-3-1-0.wav,Dog Bark,2,original,70098-3-1-0.wav
original_51027-3-1-1.wav,../data/processed/audio/original_51027-3-1-1.wav,Dog Bark,2,original,51027-3-1-1.wav
original_155317-3-0-0.wav,../data/processed/audio/original_155317-3-0-0.wav,Dog Bark,2,original,155317-3-0-0.wav
original_105319-3-0-29.wav,../data/processed/audio/original_105319-3-0-29.wav,Dog Bark,2,original,105319-3-0-29.wav
original_52441-3-0-8.wav,../data/processed/audio/original_52441-3-0-8.wav,Dog Bark,2,original,52441-3-0-8.wav
original_66587-3-1-0.wav,../data/processed/audio/original_66587-3-1-0.wav,Dog Bark,2,original,66587-3-1-0.wav
original_173993-3-0-51.wav,../data/processed/audio/original_173993-3-0-51.wav,Dog Bark,2,original,173993-3-0-51.wav
original_31323-3-0-2.wav,../data/processed/audio/original_31323-3-0-2.wav,Dog Bark,2,original,31323-3-0-2.wav
original_81722-3-0-21.wav,../data/processed/audio/original_81722-3-0-21.wav,Dog Bark,2,original,81722-3-0-21.wav
original_59800-3-1-0.wav,../data/processed/audio/original_59800-3-1-0.wav,Dog Bark,2,original,59800-3-1-0.wav
original_177620-3-0-20.wav,../data/processed/audio/original_177620-3-0-20.wav,Dog Bark,2,original,177620-3-0-20.wav
original_47926-3-2-0.wav,../data/processed/audio/original_47926-3-2-0.wav,Dog Bark,2,original,47926-3-2-0.wav
original_30344-3-0-3.wav,../data/processed/audio/original_30344-3-0-3.wav,Dog Bark,2,original,30344-3-0-3.wav
original_184725-3-0-1.wav,../data/processed/audio/original_184725-3-0-1.wav,Dog Bark,2,original,184725-3-0-1.wav
original_72724-3-1-0.wav,../data/processed/audio/original_72724-3-1-0.wav,Dog Bark,2,original,72724-3-1-0.wav
original_109233-3-0-6.wav,../data/processed/audio/original_109233-3-0-6.wav,Dog Bark,2,original,109233-3-0-6.wav
original_166268-3-2-0.wav,../data/processed/audio/original_166268-3-2-0.wav,Dog Bark,2,original,166268-3-2-0.wav
original_26256-3-4-0.wav,../data/processed/audio/original_26256-3-4-0.wav,Dog Bark,2,original,26256-3-4-0.wav
original_125523-3-0-11.wav,../data/processed/audio/original_125523-3-0-11.wav,Dog Bark,2,original,125523-3-0-11.wav
original_13577-3-5-0.wav,../data/processed/audio/original_13577-3-5-0.wav,Dog Bark,2,original,13577-3-5-0.wav
original_201207-3-0-0.wav,../data/processed/audio/original_201207-3-0-0.wav,Dog Bark,2,original,201207-3-0-0.wav
original_81722-3-0-26.wav,../data/processed/audio/original_81722-3-0-26.wav,Dog Bark,2,original,81722-3-0-26.wav
original_77927-3-0-2.wav,../data/processed/audio/original_77927-3-0-2.wav,Dog Bark,2,original,77927-3-0-2.wav
original_114587-3-0-5.wav,../data/processed/audio/original_114587-3-0-5.wav,Dog Bark,2,original,114587-3-0-5.wav
original_187378-3-0-30.wav,../data/processed/audio/original_187378-3-0-30.wav,Dog Bark,2,original,187378-3-0-30.wav
original_207124-3-2-0.wav,../data/processed/audio/original_207124-3-2-0.wav,Dog Bark,2,original,207124-3-2-0.wav
original_203440-3-0-5.wav,../data/processed/audio/original_203440-3-0-5.wav,Dog Bark,2,original,203440-3-0-5.wav
original_102105-3-0-0.wav,../data/processed/audio/original_102105-3-0-0.wav,Dog Bark,2,original,102105-3-0-0.wav
original_204919-3-3-0.wav,../data/processed/audio/original_204919-3-3-0.wav,Dog Bark,2,original,204919-3-3-0.wav
original_41372-3-0-25.wav,../data/processed/audio/original_41372-3-0-25.wav,Dog Bark,2,original,41372-3-0-25.wav
original_38236-3-2-3.wav,../data/processed/audio/original_38236-3-2-3.wav,Dog Bark,2,original,38236-3-2-3.wav
original_128470-3-0-5.wav,../data/processed/audio/original_128470-3-0-5.wav,Dog Bark,2,original,128470-3-0-5.wav
